Key,japanese
drinkNukaCola,ヌカ・コーラ
drinkNukaColaDesc,ウェイストランダーの好物！\nスタミナが素早く回復し、最大体力と最大スタミナも少量回復します。\n汚染の影響で、効果時間内は移動速度が上がります。
drinkNukaCherry,ヌカ・チェリー
drinkNukaCherryDesc,ヌカ・チェリー！\n力が湧いて、攻撃力が上がり、最大体力と最大スタミナも少量回復します。\n汚染の影響で、効果時間内は移動速度が上がります。
drinkNukaQuantum,ヌカ・クアンタム
drinkNukaQuantumDesc,ヌカ・クアンタムは安全ですよ！\n ブーストが一時的にかかりますが、後遺症があるかもしれません。
drinkNukaQuartz,ヌカ・クォーツ
drinkNukaQuartzDesc,見た目が少し怪しいけど、気にしたら負けです！\nダメージへの耐性が上がり、体力が徐々に回復しますが、少し気分が悪くなります。
drinkSunsetSarsaparilla,サンセット・サルサパリラ
drinkSunsetSarsaparillaDesc,新鮮ではありませんが、水よりは良いはずです。\n体力とスタミナが回復し、スタミナの回復速度が上がります。
drinkSunsetSarsaparillaStar,サンセット・サルサパリラ
drinkSunsetSarsaparillaStarDesc,新鮮ではありませんが、水よりは良いはずです。\n体力とスタミナが回復し、スタミナの回復速度が上がります。
resourceNukaBaseIngredients,ヌカ・ベース材料
resourceNukaBaseIngredientsDesc,それぞれ味のヌカの材料です。
bookNukaRecipes,ヌカレシピ
bookNukaRecipesDesc,いくつかの種類のヌカ・コーラがクラフト可能になります。
thrownNukaNade,ヌカネード
thrownNukaNadeDesc,クアンタムを飲む勇気がないのならば、爆弾の材料として使用する事も出来ます。

VaultDoorKey,看守のオフィスの鍵
VaultDoorKeyDesc,看守のオフィスのドアを開くために必要なキーカード。\n\n手に持った状態で対象に向け右クリックして使用します。
OVDeskKey,看守の机の鍵
OVDeskKeyDesc,看守の机を開くために必要なキーカード。\n\n手に持った状態で対象に向け右クリックして使用します。
OVExitKey,看守の出口の鍵
OVExitKeyDesc,看守の秘密の出口のドアを開くために必要なキーカード。\n\n手に持った状態で対象に向け右クリックして使用します。
OVexitdoorunlocked,看守の秘密の出口

VaultDoorKey_b,看守のオフィスの鍵(B)
VaultDoorKey_bDesc,看守のオフィスのドアを開くために必要なキーカード。
OVDeskKey_b,看守の机の鍵(B)
OVDeskKey_bDesc,看守の机を開くために必要なキーカード。
OVExitKey_b,看守の出口の鍵(B)
OVExitKey_bDesc,看守の秘密の出口のドアを開くために必要なキーカード。

NukaColaLight,ヌカ・コーラ
NukaQuantumLight,ヌカ・クアンタム
NukaQuartzLight,ヌカ・クォーツ
NukaCherryLight,ヌカ・チェリー
NukaTruck,ヌカ・トラック

cntVTstoragePlayer,ボルトテック・コンテナ
cntVTstoragePlayerDesc,収納箱
cntVTstorageSecurePlayer,ボルトテック・コンテナ
cntVTstorageSecurePlayerDesc,収納箱
cntVTstorageLoot,ボルトテック・コンテナ
cntVTstorageLootDesc,収納箱
cntVTstorageLootInsecure,ボルトテック・コンテナ
cntVTstorageLootInsecureDesc,収納箱
cntVTstorageTallPlayer,ボルトテック・コンテナ
cntVTstorageTallPlayerDesc,収納箱
cntVTstorageTallSecurePlayer,ボルトテック・コンテナ
cntVTstorageTallSecurePlayerDesc,収納箱
cntVTstorageTallLoot,ボルトテック・コンテナ
cntVTstorageTallLootDesc,収納箱
cntVTstorageTallLootInsecure,ボルトテック・コンテナ
cntVTstorageTallLootInsecureDesc,収納箱
cntNukaCrateS0,閉じられたヌカ・クレート
cntNukaCrateS1,閉じられたヌカ・クレート
cntNukaCrateS2,閉じられたヌカ・クレート
cntNukaCrate0,ヌカ・クレート
cntNukaCrate1,ヌカ・クレート
cntNukaCrate2,ヌカ・クレート
cntNukaSafeSecure,鍵のかかったヌカ金庫
cntNukaSafeSecureDesc,鍵がかかっているヌカ金庫
cntNukaSafe,ヌカ金庫
cntNukaSafeDesc,ヌカ金庫
cntNukaVendingMachineBroken,壊れたヌカ自動販売機
cntNukaVendingMachineBrokenDesc,壊れているヌカ自動販売機。
cntNukaVendingMachine,ヌカ自動販売機
cntNukaVendingMachineDesc,使用可能なヌカ自動販売機。
cntSSVendingMachineBroken,壊れたサンセット・サルサパリラ自動販売機
cntSSVendingMachineBrokenDesc,壊れているサンセット・サルサパリラ自動販売機
cntSSVendingMachine,サンセット・サルサパリラ自動販売機
cntSSVendingMachineDesc,使用可能なサンセット・サルサパリラ自動販売機。
cntAmmoBox,弾薬箱
cntAmmoBoxDesc,軍用弾薬ストレージ箱

Terminal,ターミナル
TerminalDesc,驚く事に、まだ使用可能です。
Terminaloff,壊れたターミナル
TerminaloffDesc,壊れているターミナル。
Telephone,古い電話
TelephoneDesc,"古い電話。\n\n使用可能だったとしても、かける相手がもういません。"
Telephone2,古い電話
Telephone2Desc,"古い電話。\n\n使用可能だったとしても、かける相手がもういません。"
VaultDoor,ボルト・ドア
VaultDoorDesc,メインのボルト・ドア
VaultMetalDoorBroken,壊れたボルト・ドア
VaultMetalDoorBrokenDesc,壊れたボルト・ドア
VaultMetalDoorLocked,ボルト・ドア
VaultMetalDoorLockedDesc,インテリア・ボルト・ドア
VaultMetalDoorUnlocked,ボルト・ドア
VaultMetalDoorUnlockedDesc,インテリア・ボルト・ドア
VaultMetalDoorSmall,ボルト・ドア
VaultMetalDoorSmallDesc,小さなボルト・ドア
VaultMetalDoorSmallLocked,ボルト・ドア
